airfoil,camber,camber_pos,thickness,t_over_c,Re,CL_max,alpha_CL_max,CD_min,LD_max,CL_at_LD_max,alpha_at_LD_max,CM_at_zero_lift
naca2215,2,2,15,0.15,1700000.0,1.4925891627378263,11.5,0.006185127534380973,123.80500792245066,1.2771281798494363,8.5,-0.03582180385623665
naca2215,2,2,15,0.15,3000000.0,1.50502613466479,11.5,0.005957403739685165,138.29576665843575,1.2155178809609173,8.0,-0.03576214805894315
naca2215,2,2,15,0.15,5000000.0,1.5117931983797266,11.0,0.00575063576065264,150.69483120400002,1.215087393090538,8.0,-0.035668917504907846
naca2215,2,2,15,0.15,10000000.0,1.5147961603779647,11.0,0.005537164367188476,163.43656500035414,1.1685580843765542,7.5,-0.03579578102461953
naca2215,2,2,15,0.15,17000000.0,1.5145034693902386,11.0,0.005425158730909622,169.40928367818353,1.235416228490894,8.0,-0.03560597760611811
naca2216,2,2,16,0.16,1700000.0,1.5071407900992626,11.5,0.006359235579741943,122.39930488626425,1.27453887456567,8.5,-0.03489266955894661
naca2216,2,2,16,0.16,3000000.0,1.5276281742505315,11.5,0.006099571268069194,137.25397078864606,1.2717577594956941,8.5,-0.03509947213712431
naca2216,2,2,16,0.16,5000000.0,1.5376253253951826,11.5,0.0058872873984801505,150.4308158423579,1.2141480902145796,8.0,-0.03520779263666567
naca2216,2,2,16,0.16,10000000.0,1.5402409877180632,11.5,0.00565493163601531,163.49923199513734,1.2306015079225285,8.0,-0.03545230858378407
naca2216,2,2,16,0.16,17000000.0,1.5369091071468346,11.5,0.005534515265928605,169.00222585825526,1.2391572325325577,8.0,-0.03523625010041917
naca2217,2,2,17,0.17,1700000.0,1.519193192765713,12.0,0.006544858779747718,120.29082916630949,1.266765850856326,8.5,-0.03405117190878192
naca2217,2,2,17,0.17,3000000.0,1.5412704499819683,12.0,0.006238845559685892,135.97828568156578,1.2641927179795036,8.5,-0.03430544382944133
naca2217,2,2,17,0.17,5000000.0,1.5523619806952071,12.0,0.006022529054745301,149.6062560566914,1.2712366076219153,8.5,-0.034647463565234855
naca2217,2,2,17,0.17,10000000.0,1.560322009171876,11.5,0.005766728946768982,162.95470878570197,1.2907615022484515,8.5,-0.035030212090305234
naca2217,2,2,17,0.17,17000000.0,1.5640910300885322,11.5,0.00564617324219424,168.61470835957294,1.3003600108262436,8.5,-0.03484530000461051
naca2218,2,2,18,0.18,1700000.0,1.5253231278396238,12.0,0.006715011145964137,117.72516038155892,1.3116119156308783,9.0,-0.03329026813771095
naca2218,2,2,18,0.18,3000000.0,1.5530544730284639,12.0,0.00637973924243945,134.06669554802133,1.2546343267083386,8.5,-0.03344732281767838
naca2218,2,2,18,0.18,5000000.0,1.5683983070552125,12.0,0.00614786893815394,148.13432486646184,1.269029553747123,8.5,-0.03399580325786155
naca2218,2,2,18,0.18,10000000.0,1.579188813774765,12.0,0.005883576567400461,162.15188140928407,1.2925234722524503,8.5,-0.034520010152276605
naca2218,2,2,18,0.18,17000000.0,1.5821374166715114,12.0,0.005748958790411729,167.74210664449276,1.3016472453573809,8.5,-0.03440749057594336
naca2410,2,4,10,0.1,1700000.0,1.2999890872115063,9.5,0.00468071238468862,116.85906821037278,0.6992515599845726,3.5,-0.057934472811790906
naca2410,2,4,10,0.1,3000000.0,1.317013429748431,9.5,0.0046553574830264085,123.00983874996102,0.6889157110129311,3.5,-0.057292200878403414
naca2410,2,4,10,0.1,5000000.0,1.3300029791635277,9.5,0.0048492888198053054,131.26067460526633,1.0513101129121667,6.5,-0.05703859781334251
naca2410,2,4,10,0.1,10000000.0,1.3415981374843282,9.5,0.004982830095186305,147.44119734385237,1.0526417235092853,6.5,-0.05683842909863889
naca2410,2,4,10,0.1,17000000.0,1.3455019322979083,9.5,0.004912125247057126,159.61081785384505,1.1178589935741605,7.0,-0.05687477598110046
naca2412,2,4,12,0.12,1700000.0,1.3445426208107036,10.0,0.005253169063002897,118.16329934538109,0.8234307484112255,4.5,-0.057712247901724106
naca2412,2,4,12,0.12,3000000.0,1.356039094859538,10.0,0.005136232276397296,126.19924999159919,0.8115332249955426,4.5,-0.05710181740364022
naca2412,2,4,12,0.12,5000000.0,1.365013039594202,10.0,0.005219628321713761,133.23917510247418,1.1138602175380672,7.0,-0.056770245827124415
naca2412,2,4,12,0.12,10000000.0,1.3720597364812785,10.0,0.005180935996228103,149.3475477590151,1.1183135288437696,7.0,-0.056684376259064195
naca2412,2,4,12,0.12,17000000.0,1.3762834045660675,9.5,0.005073013525557213,160.0086235961416,1.1286067068709658,7.0,-0.056713918970322116
naca2414,2,4,14,0.14,1700000.0,1.3995998820955706,10.5,0.005793319612177272,119.39707119658246,0.9434188434859269,5.5,-0.05727340348069537
naca2414,2,4,14,0.14,3000000.0,1.4111929179671647,10.5,0.005597647717748018,128.69077090999437,0.9324408848997585,5.5,-0.056757488421083205
naca2414,2,4,14,0.14,5000000.0,1.4185912343847433,10.0,0.0055349107016682475,134.23907642558635,0.9380111126538636,5.5,-0.05639802439684377
naca2414,2,4,14,0.14,10000000.0,1.4253981622525569,10.0,0.005381710458565493,149.4214718674599,1.1831474069789454,7.5,-0.05637990819193868
naca2414,2,4,14,0.14,17000000.0,1.4288640995498247,10.0,0.005249396271366725,159.03685339834598,1.195749044820092,7.5,-0.05646708949593863
naca2415,2,4,15,0.15,1700000.0,1.4204013257975734,11.0,0.006055949033093922,119.71528902410569,1.001472990567582,6.0,-0.05692724968946713
naca2415,2,4,15,0.15,3000000.0,1.4381967496916583,10.5,0.005823555560722054,129.60566670040959,0.991901701950325,6.0,-0.05651956476050888
naca2415,2,4,15,0.15,5000000.0,1.449493794604112,10.5,0.005676316520203442,135.6257823609703,0.999556140082024,6.0,-0.0562055090877022
naca2415,2,4,15,0.15,10000000.0,1.4557145133040164,10.5,0.005481931138805244,148.79382830243472,1.2432628526258849,8.0,-0.05618156314937156
naca2415,2,4,15,0.15,17000000.0,1.4569026928205593,10.5,0.005341067491958797,158.31250112518939,1.2572417718463276,8.0,-0.05629545511906451
naca2416,2,4,16,0.16,1700000.0,1.4531486276240195,11.5,0.006334815839702526,119.56725566615972,0.994333640708576,6.0,-0.05631874826269788
naca2416,2,4,16,0.16,3000000.0,1.476269840117406,11.0,0.006039819204406741,129.80611386202827,0.9912304125317933,6.0,-0.055976699730072826
naca2416,2,4,16,0.16,5000000.0,1.4909248705687257,11.0,0.0058298620538391795,136.80546349528757,1.0579785894457872,6.5,-0.055675421463865886
naca2416,2,4,16,0.16,10000000.0,1.4981886868878256,11.0,0.00557900260771769,151.0433393631207,1.2457512689102541,8.0,-0.055543990566473335
naca2416,2,4,16,0.16,17000000.0,1.4969183671718722,11.0,0.005413431934642292,159.9619685826405,1.317114929953531,8.5,-0.05567329962036928
naca2417,2,4,17,0.17,1700000.0,1.4678050578604862,11.5,0.006584343722442208,119.2314779934417,1.0484991900214953,6.5,-0.05583104063876484
naca2417,2,4,17,0.17,3000000.0,1.4951073823888539,11.5,0.006229942787709875,130.11558322839562,1.0481206245498964,6.5,-0.05561220257170252
naca2417,2,4,17,0.17,5000000.0,1.511016935500883,11.5,0.005962895670624672,137.40616547480076,1.1158025279554236,7.0,-0.05541260664523298
naca2417,2,4,17,0.17,10000000.0,1.5217303311800814,11.0,0.005680621827517356,150.10881734190315,1.301919232019721,8.5,-0.055283092851127855
naca2417,2,4,17,0.17,17000000.0,1.5296086097335535,11.0,0.005506696849301797,159.18301089459277,1.3177034980364632,8.5,-0.05538116738485558
naca2418,2,4,18,0.18,1700000.0,1.4803427685601591,12.0,0.006831822331685975,118.45354537846663,1.0383417643033908,6.5,-0.055291614015044635
naca2418,2,4,18,0.18,3000000.0,1.5088350382246527,12.0,0.006402149817157484,129.7946841175974,1.1015344255429238,7.0,-0.05519757804651531
naca2418,2,4,18,0.18,5000000.0,1.5274590361819962,11.5,0.006093876119135255,137.61339979260555,1.1175632889983902,7.0,-0.055118140255244155
naca2418,2,4,18,0.18,10000000.0,1.5458361418805346,11.5,0.005781895780663362,148.70621362052157,1.3002791268934517,8.5,-0.055017251828500244
naca2418,2,4,18,0.18,17000000.0,1.5544725540382525,11.5,0.005600626997211678,157.32099663078347,1.3157442171808202,8.5,-0.05507429005555345
naca2610,2,6,10,0.1,1700000.0,1.297165704010906,9.0,0.004589506103582498,108.79919744102541,0.7326502204331433,3.5,-0.08352935374310175
naca2610,2,6,10,0.1,3000000.0,1.313471658340749,9.0,0.004396288458800918,119.58954213577141,1.030594672699492,6.0,-0.08154129657775111
